text,topic
"The opening scene of this film gave me chills.",movie
"I walked out of the cinema thinking about it for hours.",movie
"The plot twist in the third act ruined the whole story for me.",movie
"Tom Hanks delivers a really emotional performance here.",movie
"The cinematography was beautiful but the script was weak.",movie
"This film is way too long they could have cut at least 30 minutes.",movie
"My favourite part was the soundtrack it really set the mood.",movie
"The director clearly cares more about visuals than dialogue.",movie
"We watched this on Netflix last weekend and we both loved it.",movie
"The action sequences felt like they belonged in a video game.",movie
"The chemistry between the two leads carried the whole film.",movie
"Cuba Gooding Jr's role here is honestly one of his best.",movie
"The ending was rushed and left too many things unresolved.",movie
"I went in with low expectations and was pleasantly surprised.",movie
"The CGI in the final battle looked very dated already.",movie
"Christopher Nolan films always reward a second watch.",movie
"The voice acting in the animated version is far better.",movie
"The remake doesn't capture what made the original special.",movie
"This is the kind of film you put on for the atmosphere not the story.",movie
"Honestly the trailer made it look better than it actually was.",movie
"The Oscars nomination was deserved purely for the costume design.",movie
"As a sequel it stands on its own but new viewers will be lost.",movie
"The pacing is slow but it pays off in the final twenty minutes.",movie
"We saw it in IMAX and that probably saved the experience.",movie
"The lead actress carries the whole movie almost by herself.",movie
"I didn't expect to laugh as much as I did during this one.",movie
"The screenplay won an award and you can really tell why.",movie
"The first hour drags but the second is one of the best ever.",movie
"Hard to recommend unless you are already a Tarantino fan.",movie
"Streaming this on a phone honestly takes away from the experience.",movie
"The service was friendly but it took forever to get our food.",restaurant
"Best pasta I have had outside of Italy honestly.",restaurant
"The menu is way too big half the things were not available.",restaurant
"We sat outside on the terrace which was the best part of the meal.",restaurant
"The waiter recommended the daily special and it was incredible.",restaurant
"This place is a bit pricey but the portions are huge.",restaurant
"The kitchen ran out of half the things on the dinner menu.",restaurant
"They have a really nice wine pairing for the tasting menu.",restaurant
"The atmosphere is cozy and they don't rush you out the door.",restaurant
"I would not come back the food was bland and overpriced.",restaurant
"The chef came over to our table to ask how everything was.",restaurant
"Their brunch is the best in the neighbourhood and worth queuing for.",restaurant
"The cocktails are creative but the food is just average.",restaurant
"We booked for our anniversary and they made it feel really special.",restaurant
"The bread basket alone was worth the trip.",restaurant
"They take reservations only on weekends which is annoying.",restaurant
"The fries were soggy but the steak was cooked perfectly.",restaurant
"This diner has been around for forty years and you can taste it.",restaurant
"The dessert menu is small but everything we tried was excellent.",restaurant
"The lighting was so dim we could barely read the menu.",restaurant
"The veggie options here are limited but well done.",restaurant
"The host was rude when we arrived without a booking.",restaurant
"They have a takeaway option which is great because the dining room is tiny.",restaurant
"The breakfast spread for hotel guests is honestly very impressive.",restaurant
"The pizza dough is made fresh every morning and you can taste it.",restaurant
"The brunch place around the corner has a much better menu though.",restaurant
"Their happy hour deal makes it worth coming in early.",restaurant
"We left without ordering because the waiter ignored us for twenty minutes.",restaurant
"The Italian place across the street is much better for the same price.",restaurant
"Their Sunday roast is the closest thing to a proper Sunday roast in this city.",restaurant
"I could not put it down finished it in two sittings.",book
"The first chapter hooked me but it lost momentum halfway through.",book
"The translation reads a bit clunky in places but the story carries it.",book
"This is one of those novels that stays with you for weeks.",book
"The author's style feels very influenced by Hemingway.",book
"The ending was disappointing after such a strong build up.",book
"I bought the hardcover edition because the cover art was beautiful.",book
"The footnotes are honestly more interesting than half the chapters.",book
"This is the third book in the series and the weakest by far.",book
"The protagonist's inner monologue dragged on for entire chapters.",book
"I borrowed it from the library on a whim and I am glad I did.",book
"The audiobook narrator does the different characters really well.",book
"Jane Austen still feels surprisingly modern in this novel.",book
"As a non fiction read it is a bit dense but very rewarding.",book
"The plot is predictable but the characters are what saved it.",book
"The cliffhanger at the end means I have to buy the sequel now.",book
"The book club picked this one and it sparked a great discussion.",book
"I gave up around page 150 it just was not for me.",book
"The historical research that went into this novel is staggering.",book
"The Kindle version has a few typos but otherwise reads fine.",book
"The author has a real gift for writing dialogue.",book
"The chapter where the main character moves abroad is the strongest.",book
"I read this in school and revisiting it as an adult was a different experience.",book
"The opening line is one of the most famous in English literature.",book
"The new edition has a foreword by the author which is worth reading.",book
"The illustrations in the middle of the volume really add to the story.",book
"I loved the first half but the second half felt rushed.",book
"The novel was banned in several countries when it first came out.",book
"The protagonist is unlikable on purpose which some readers will not enjoy.",book
"The ending tied everything together better than I expected.",book
